dia_inicial;cost;gamma;tam_treino;evaluation;evaluationAlfa;kernel;kernelAlfa;type;typeAlfa;valor_real_anterior;valor_real;valor_predito;diffMod;perc_acerto
2;1048576;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;28,89;28,89;27,87;1,02;96,48
2;1048576;0,0000305176;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;28,89;28,89;27,65;1,24;95,7
2;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;28,89;28,89;28,05;0,84;97,09
2;1048576;4;25;4;RAE;0;Linear;3;EPSILON_SVR;28,89;28,89;27,71;1,18;95,91
2;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;28,89;28,89;27,87;1,02;96,48
2;1048576;0,0002441406;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;28,89;28,89;27,71;1,18;95,91
2;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;28,89;28,89;28,05;0,84;97,09
2;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;28,89;28,89;27,71;1,18;95,91
2;1048576;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;28,89;28,89;27,87;1,02;96,48
2;1048576;0,0000305176;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;28,89;28,89;27,65;1,24;95,7
2;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;28,89;28,89;28,05;0,84;97,09
2;1048576;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;28,89;28,89;27,71;1,18;95,91
3;65536;0,0000305176;25;4;RAE;2;RBF;3;EPSILON_SVR;29,55;28,89;29,31;0,42;101,47
3;1048576;0,03125;25;4;RAE;3;Sigmoid;3;EPSILON_SVR;29,55;28,89;-14681,08;14709,97;-50817,17
3;1048576;1024;25;4;RAE;1;Polynomial;3;EPSILON_SVR;29,55;28,89;29,43;0,54;101,87
3;1;4;25;4;RAE;0;Linear;3;EPSILON_SVR;29,55;28,89;29,31;0,42;101,46
3;1048576;0,0000305176;25;1;RMSE;2;RBF;3;EPSILON_SVR;29,55;28,89;28,91;0,02;100,08
3;1048576;0,001953125;25;1;RMSE;3;Sigmoid;3;EPSILON_SVR;29,55;28,89;28,58;0,31;98,92
3;1048576;1024;25;1;RMSE;1;Polynomial;3;EPSILON_SVR;29,55;28,89;29,43;0,54;101,87
3;1048576;4;25;1;RMSE;0;Linear;3;EPSILON_SVR;29,55;28,89;28,65;0,24;99,18
3;16384;0,0000305176;25;5;COMBINED;2;RBF;3;EPSILON_SVR;29,55;28,89;29,31;0,42;101,47
3;1048576;0,03125;25;5;COMBINED;3;Sigmoid;3;EPSILON_SVR;29,55;28,89;-14681,08;14709,97;-50817,17
3;1048576;1024;25;5;COMBINED;1;Polynomial;3;EPSILON_SVR;29,55;28,89;29,43;0,54;101,87
3;1;4;25;5;COMBINED;0;Linear;3;EPSILON_SVR;29,55;28,89;29,31;0,42;101,46
